name,zh,abbr
Sun Life MPF Hong Kong Dollar Bond Fund,永明強積金港元債券基金,HKBOND
Sun Life MPF RMB and HKD Fund,永明強積金人民幣及港元基金,RMBHKD
Sun Life MPF Global Bond Fund,永明強積金環球債券基金,GLBOND
Sun Life MPF Balanced Fund,永明強積金均衡基金,BAL
Sun Life MPF Growth Fund,永明強積金增長基金,GROW
Sun Life MPF Global Low Carbon Index Fund,永明強積金環球低碳指數基金,LCARB
Sun Life MPF Multi-Sector Equity Fund,永明強積金行業股票基金,EQU
Sun Life MPF European Equity Fund,永明強積金歐洲股票基金,EURO
Sun Life MPF Asian Equity Fund,永明強積金亞洲股票基金,ASIA
Sun Life MPF US Equity Fund,永明強積金美國股票基金,US
Sun Life MPF Greater China Equity Fund,永明強積金大中華股票基金,GC
Sun Life FTSE MPF Hong Kong Index Fund,永明富時強積金香港指數基金,HKINDX
Sun Life MPF Hong Kong Equity Fund,永明強積金香港股票基金,HKEQU
Sun Life MPF Core Accumulation Fund,永明強積金核心累積基金,CORE
Sun Life MPF Age 65 Plus Fund,永明強積金65歲後基金,AGE65
Sun Life MPF Conservative Fund,永明強積金保守基金,CONSE
