date,name,price
2001-09-17,Sun Life MPF Hong Kong Dollar Bond Fund,1.0528
2001-09-18,Sun Life MPF Hong Kong Dollar Bond Fund,1.053
2001-09-19,Sun Life MPF Hong Kong Dollar Bond Fund,1.0543
2001-09-20,Sun Life MPF Hong Kong Dollar Bond Fund,1.057
2001-09-21,Sun Life MPF Hong Kong Dollar Bond Fund,1.0572
2001-09-24,Sun Life MPF Hong Kong Dollar Bond Fund,1.0581
2001-09-25,Sun Life MPF Hong Kong Dollar Bond Fund,1.0582
2001-09-26,Sun Life MPF Hong Kong Dollar Bond Fund,1.0592
2001-09-27,Sun Life MPF Hong Kong Dollar Bond Fund,1.0599
2001-09-28,Sun Life MPF Hong Kong Dollar Bond Fund,1.0606
2001-10-03,Sun Life MPF Hong Kong Dollar Bond Fund,1.0623
2001-10-04,Sun Life MPF Hong Kong Dollar Bond Fund,1.0626
2001-10-05,Sun Life MPF Hong Kong Dollar Bond Fund,1.063
2001-10-08,Sun Life MPF Hong Kong Dollar Bond Fund,1.0642
2001-10-09,Sun Life MPF Hong Kong Dollar Bond Fund,1.0644
2001-10-10,Sun Life MPF Hong Kong Dollar Bond Fund,1.0641
2001-10-11,Sun Life MPF Hong Kong Dollar Bond Fund,1.0637
2001-10-12,Sun Life MPF Hong Kong Dollar Bond Fund,1.0615
2001-10-15,Sun Life MPF Hong Kong Dollar Bond Fund,1.0622
2001-10-16,Sun Life MPF Hong Kong Dollar Bond Fund,1.0627
2001-10-17,Sun Life MPF Hong Kong Dollar Bond Fund,1.0624
2001-10-18,Sun Life MPF Hong Kong Dollar Bond Fund,1.0604
2001-10-19,Sun Life MPF Hong Kong Dollar Bond Fund,1.059
2001-10-22,Sun Life MPF Hong Kong Dollar Bond Fund,1.0606
2001-10-23,Sun Life MPF Hong Kong Dollar Bond Fund,1.0602
2001-10-24,Sun Life MPF Hong Kong Dollar Bond Fund,1.0611
2001-10-26,Sun Life MPF Hong Kong Dollar Bond Fund,1.0626
2001-10-29,Sun Life MPF Hong Kong Dollar Bond Fund,1.0628
2001-10-30,Sun Life MPF Hong Kong Dollar Bond Fund,1.0631
2001-10-31,Sun Life MPF Hong Kong Dollar Bond Fund,1.0649
2001-11-01,Sun Life MPF Hong Kong Dollar Bond Fund,1.0664
2001-11-02,Sun Life MPF Hong Kong Dollar Bond Fund,1.0662
2001-11-05,Sun Life MPF Hong Kong Dollar Bond Fund,1.0674
2001-11-06,Sun Life MPF Hong Kong Dollar Bond Fund,1.0678
2001-11-07,Sun Life MPF Hong Kong Dollar Bond Fund,1.0695
2001-11-08,Sun Life MPF Hong Kong Dollar Bond Fund,1.0703
2001-11-09,Sun Life MPF Hong Kong Dollar Bond Fund,1.0688
2001-11-12,Sun Life MPF Hong Kong Dollar Bond Fund,1.0692
2001-11-13,Sun Life MPF Hong Kong Dollar Bond Fund,1.0699
2001-11-14,Sun Life MPF Hong Kong Dollar Bond Fund,1.0687
2001-11-15,Sun Life MPF Hong Kong Dollar Bond Fund,1.0654
2001-11-16,Sun Life MPF Hong Kong Dollar Bond Fund,1.0588
2001-11-19,Sun Life MPF Hong Kong Dollar Bond Fund,1.0587
2001-11-20,Sun Life MPF Hong Kong Dollar Bond Fund,1.0599
2001-11-21,Sun Life MPF Hong Kong Dollar Bond Fund,1.0584
2001-11-22,Sun Life MPF Hong Kong Dollar Bond Fund,1.0565
2001-11-23,Sun Life MPF Hong Kong Dollar Bond Fund,1.0559
2001-11-26,Sun Life MPF Hong Kong Dollar Bond Fund,1.0565
2001-11-27,Sun Life MPF Hong Kong Dollar Bond Fund,1.0555
2001-11-28,Sun Life MPF Hong Kong Dollar Bond Fund,1.0582
2001-11-29,Sun Life MPF Hong Kong Dollar Bond Fund,1.0573
2001-11-30,Sun Life MPF Hong Kong Dollar Bond Fund,1.0593
2001-12-03,Sun Life MPF Hong Kong Dollar Bond Fund,1.0597
2001-12-04,Sun Life MPF Hong Kong Dollar Bond Fund,1.0598
2001-12-05,Sun Life MPF Hong Kong Dollar Bond Fund,1.0606
2001-12-06,Sun Life MPF Hong Kong Dollar Bond Fund,1.0558
2001-12-07,Sun Life MPF Hong Kong Dollar Bond Fund,1.0539
2001-12-10,Sun Life MPF Hong Kong Dollar Bond Fund,1.0539
2001-12-11,Sun Life MPF Hong Kong Dollar Bond Fund,1.0562
2001-12-12,Sun Life MPF Hong Kong Dollar Bond Fund,1.0577
2001-12-13,Sun Life MPF Hong Kong Dollar Bond Fund,1.0596
2001-12-14,Sun Life MPF Hong Kong Dollar Bond Fund,1.0576
2001-12-17,Sun Life MPF Hong Kong Dollar Bond Fund,1.0564
2001-12-18,Sun Life MPF Hong Kong Dollar Bond Fund,1.0562
2001-12-19,Sun Life MPF Hong Kong Dollar Bond Fund,1.0576
2001-12-20,Sun Life MPF Hong Kong Dollar Bond Fund,1.0572
2001-12-21,Sun Life MPF Hong Kong Dollar Bond Fund,1.0564
2001-12-24,Sun Life MPF Hong Kong Dollar Bond Fund,1.0557
2001-12-27,Sun Life MPF Hong Kong Dollar Bond Fund,1.0539
2001-12-28,Sun Life MPF Hong Kong Dollar Bond Fund,1.0555
2001-12-31,Sun Life MPF Hong Kong Dollar Bond Fund,1.0558
2002-01-02,Sun Life MPF Hong Kong Dollar Bond Fund,1.0571
2002-01-03,Sun Life MPF Hong Kong Dollar Bond Fund,1.0559
2002-01-04,Sun Life MPF Hong Kong Dollar Bond Fund,1.0589
2002-01-07,Sun Life MPF Hong Kong Dollar Bond Fund,1.0613
2002-01-08,Sun Life MPF Hong Kong Dollar Bond Fund,1.0625
2002-01-09,Sun Life MPF Hong Kong Dollar Bond Fund,1.0612
2002-01-10,Sun Life MPF Hong Kong Dollar Bond Fund,1.0622
2002-01-11,Sun Life MPF Hong Kong Dollar Bond Fund,1.064
2002-01-14,Sun Life MPF Hong Kong Dollar Bond Fund,1.0673
2002-01-15,Sun Life MPF Hong Kong Dollar Bond Fund,1.0664
