VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
17/09/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9077
18/09/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9018
19/09/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9012
20/09/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.8912
21/09/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.8783
24/09/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.8911
25/09/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.8904
26/09/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.893
27/09/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.8964
28/09/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9048
03/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.914
04/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9225
05/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9251
08/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9226
09/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9236
10/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9261
11/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9335
12/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.929
15/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9274
16/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9316
17/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9337
18/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9296
19/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9264
22/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9286
23/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9294
24/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9341
26/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9411
29/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9379
30/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9342
31/10/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9364
01/11/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9407
02/11/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9424
05/11/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9481
06/11/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9493
07/11/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9534
08/11/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9568
09/11/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9551
12/11/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9568
13/11/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9553
