VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
17/09/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0267
18/09/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0269
19/09/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0266
20/09/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0272
21/09/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0273
24/09/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0276
25/09/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0276
26/09/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0274
27/09/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0275
28/09/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0276
03/10/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0281
04/10/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0282
05/10/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0282
08/10/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0286
09/10/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0287
10/10/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0287
11/10/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0288
12/10/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0287
15/10/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.029
16/10/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.029
